Date,Open,High,Low,Close,Adj Close,Volume
2016-07-12,5.056000,5.294000,5.034000,5.275000,4.232207,43381349
2016-07-13,5.235000,5.410000,5.141000,5.236000,4.200916,40855769
2016-07-14,5.319000,5.397000,5.281000,5.352000,4.293985,111502133
2016-07-15,5.336000,5.438000,5.237000,5.345000,4.288368,71732356
2016-07-18,5.297000,5.349000,5.095000,5.195000,4.168022,67502167
2016-07-19,5.174000,5.265000,5.103000,5.147000,4.129510,110767379
2016-07-20,5.200000,5.243000,5.136000,5.198000,4.170428,23930672
2016-07-21,5.203000,5.304000,5.159000,5.248000,4.210545,83218805
2016-07-22,5.220000,5.288000,5.199000,5.254000,4.215358,30432850
2016-07-25,5.244000,5.277000,5.144000,5.175000,4.151975,22430017
2016-07-26,5.161000,5.182000,5.043000,5.131000,4.116674,24206328
2016-07-27,5.142000,5.278000,5.141000,5.224000,4.191289,27041462
2016-07-28,5.201000,5.228000,5.026000,5.038000,4.042058,24898014
2016-07-29,5.215000,5.289000,5.120000,5.225000,4.192091,38154278
2016-08-01,5.260000,5.300000,4.976000,5.030000,4.035640,47000078
2016-08-02,5.001000,5.004000,4.761000,4.785000,3.839073,50478750
2016-08-03,4.833000,4.881000,4.756000,4.835000,3.879188,43521489
2016-08-04,4.877000,5.020000,4.874000,4.958000,3.977873,32782011
2016-08-05,5.000000,5.094000,4.960000,5.088000,4.082173,27510203
2016-08-08,5.122000,5.197000,5.110000,5.123000,4.110254,22588870
2016-08-09,5.130000,5.232000,5.092000,5.222000,4.189684,26989559
2016-08-10,5.181000,5.298000,5.167000,5.275000,4.232207,21451885
2016-08-11,5.300000,5.317000,5.233000,5.303000,4.254672,13256155
2016-08-12,5.290000,5.335000,5.266000,5.270000,4.228195,12179246
2016-08-15,5.265000,5.310000,5.249000,5.285000,4.240229,8263127
2016-08-16,5.265000,5.312000,5.229000,5.269000,4.227393,23855331
2016-08-17,5.308000,5.315000,5.174000,5.177000,4.153580,11495267
2016-08-18,5.230000,5.240000,5.129000,5.199000,4.171231,12016215
2016-08-19,5.188000,5.190000,5.039000,5.091000,4.084581,17909839
2016-08-22,5.094000,5.183000,5.079000,5.132000,4.117476,13289554
2016-08-23,5.141000,5.255000,5.136000,5.230000,4.196103,37346278
2016-08-24,5.259000,5.409000,5.220000,5.405000,4.336507,43671448
2016-08-25,5.363000,5.399000,5.318000,5.343000,4.286764,17525425
2016-08-26,5.340000,5.443000,5.328000,5.429000,4.355763,12577006
2016-08-29,5.402000,5.464000,5.372000,5.413000,4.342926,8221034
